10/12/2006-03:00:00 9.418 1.83 82.334 0 288.969 0
10/12/2006-04:00:00 8.028 1.83 89.906 0 283.3 0
10/12/2006-05:00:00 8.028 1.83 89.906 0 283.3 0
10/12/2006-06:00:00 8.028 1.83 89.906 0 283.3 0
10/12/2006-07:00:00 9.095 1.83 84.571 114.38 287.817 0
10/12/2006-08:00:00 9.095 1.83 84.571 114.38 287.817 0
10/12/2006-09:00:00 9.095 1.83 84.571 114.38 287.817 0
10/12/2006-10:00:00 13.014 1.83 66.462 398.144 304.296 0
10/12/2006-11:00:00 13.014 1.83 66.462 398.144 304.296 0
10/12/2006-12:00:00 13.014 1.83 66.462 398.144 304.296 0
10/12/2006-13:00:00 16.274 1.83 54.885 407.365 318.626 0
10/12/2006-14:00:00 16.274 1.83 54.885 407.365 318.626 0
10/12/2006-15:00:00 16.274 1.83 54.885 407.365 318.626 0
10/12/2006-16:00:00 16.383 1.83 55.534 131.365 319.65 0
10/12/2006-17:00:00 16.383 1.83 55.534 131.365 319.65 0
10/12/2006-18:00:00 16.383 1.83 55.534 131.365 319.65 0
10/12/2006-19:00:00 15.004 1.83 61.786 0 314.282 0
10/12/2006-20:00:00 15.004 1.83 61.786 0 314.282 0
10/12/2006-21:00:00 15.004 1.83 61.786 0 314.282 0
10/12/2006-22:00:00 13.091 1.83 71.217 0 306.739 0
10/12/2006-23:00:00 13.091 1.83 71.217 0 306.739 0
10/12/2006-24:00:00 13.091 1.83 71.217 0 306.739 0
10/13/2006-01:00:00 11.286 1.76 81.64 0 309.18 0
10/13/2006-02:00:00 11.286 1.76 81.64 0 309.18 0
10/13/2006-03:00:00 11.286 1.76 81.64 0 309.18 0
10/13/2006-04:00:00 10.226 1.76 89.148 0 305.124 0
10/13/2006-05:00:00 10.226 1.76 89.148 0 305.124 0
10/13/2006-06:00:00 10.226 1.76 89.148 0 305.124 0
10/13/2006-07:00:00 11.026 1.76 84.035 95.233 308.368 0
10/13/2006-08:00:00 11.026 1.76 84.035 95.233 308.368 0
10/13/2006-09:00:00 11.026 1.76 84.035 95.233 308.368 0
10/13/2006-10:00:00 13.972 1.76 68.055 336.23 320.632 0.00011427
10/13/2006-11:00:00 13.972 1.76 68.055 336.23 320.632 0.0010379
10/13/2006-12:00:00 13.972 1.76 68.055 336.23 320.632 0.0028644
10/13/2006-13:00:00 16.422 1.76 57.114 343.71 331.021 0.00039332
10/13/2006-14:00:00 16.422 1.76 57.114 343.71 331.021 0.0010296
10/13/2006-15:00:00 16.422 1.76 57.114 343.71 331.021 9.8523e-05
10/13/2006-16:00:00 16.286 1.76 56.578 108.819 329.94 0
10/13/2006-17:00:00 16.286 1.76 56.578 108.819 329.94 0
10/13/2006-18:00:00 16.286 1.76 56.578 108.819 329.94 0
10/13/2006-19:00:00 14.43 1.76 62.572 0 321.256 0
10/13/2006-20:00:00 14.43 1.76 62.572 0 321.256 0
10/13/2006-21:00:00 14.43 1.76 62.572 0 321.256 0
10/13/2006-22:00:00 11.858 1.76 72.649 0 309.678 0
10/13/2006-23:00:00 11.858 1.76 72.649 0 309.678 0
10/13/2006-24:00:00 11.858 1.76 72.649 0 309.678 0
10/14/2006-01:00:00 9.429 2.6 83.801 0 302.145 0
10/14/2006-02:00:00 9.429 2.6 83.801 0 302.145 0
10/14/2006-03:00:00 9.429 2.6 83.801 0 302.145 0
10/14/2006-04:00:00 8.003 2.6 90.511 0 295.783 0
10/14/2006-05:00:00 8.003 2.6 90.511 0 295.783 0
10/14/2006-06:00:00 8.003 2.6 90.511 0 295.783 0
10/14/2006-07:00:00 8.687 2.6 84.602 88.558 298.17 0
10/14/2006-08:00:00 8.687 2.6 84.602 88.558 298.17 0
10/14/2006-09:00:00 8.687 2.6 84.602 88.558 298.17 0
10/14/2006-10:00:00 11.418 2.6 68.925 319.095 309.197 0
10/14/2006-11:00:00 11.418 2.6 68.925 319.095 309.197 0
10/14/2006-12:00:00 11.418 2.6 68.925 319.095 309.197 0
10/14/2006-13:00:00 13.688 2.6 58.054 326.647 318.507 0
10/14/2006-14:00:00 13.688 2.6 58.054 326.647 318.507 0
10/14/2006-15:00:00 13.688 2.6 58.054 326.647 318.507 0
10/14/2006-16:00:00 13.499 2.6 57.432 102.08 317.179 0
10/14/2006-17:00:00 13.499 2.6 57.432 102.08 317.179 0
10/14/2006-18:00:00 13.499 2.6 57.432 102.08 317.179 0.00018643
10/14/2006-19:00:00 11.542 2.6 63.782 0 308.254 0.001788
10/14/2006-20:00:00 11.542 2.6 63.782 0 308.254 0.0017521
10/14/2006-21:00:00 11.542 2.6 63.782 0 308.254 0.00012454
10/14/2006-22:00:00 8.829 2.6 74.648 0 296.378 8.1528e-05
